,day,new_infections,infected,recovered,immune,alive,dead
0,0,44,64,0,0,5000,0
1,1,77,141,0,0,5000,0
2,2,85,226,0,0,5000,0
3,3,110,336,0,0,5000,0
4,4,123,459,0,0,5000,0
5,5,109,568,0,0,5000,0
6,6,115,683,0,0,5000,0
7,7,130,813,0,0,5000,0
8,8,147,960,0,0,5000,0
9,9,119,1079,0,0,5000,0
10,10,137,1216,0,0,5000,0
11,11,133,1349,0,0,5000,0
12,12,132,1481,0,0,5000,0
13,13,164,1645,0,0,5000,0
14,14,128,1773,0,0,5000,0
15,15,136,1845,64,64,4986,14
16,16,122,1890,141,141,4962,38
17,17,88,1893,226,226,4931,69
18,18,110,1893,336,336,4892,108
19,19,124,1894,459,459,4845,155
20,20,104,1889,568,568,4792,208
21,21,98,1872,683,683,4735,265
22,22,130,1872,813,813,4670,330
23,23,84,1809,960,960,4603,397
24,24,77,1767,1079,1079,4535,465
25,25,87,1717,1216,1216,4465,535
26,26,73,1657,1349,1349,4395,605
27,27,79,1604,1481,1481,4324,676
28,28,77,1517,1645,1645,4253,747
29,29,84,1473,1773,1773,4180,820
30,30,68,1514,1800,1800,4111,889
31,31,68,1564,1818,1818,4043,957
32,32,66,1608,1840,1840,3978,1022
33,33,78,1662,1864,1864,3914,1086
34,34,54,1691,1889,1889,3854,1146
35,35,48,1718,1910,1910,3797,1203
36,36,53,1741,1940,1940,3743,1257
37,37,65,1785,1961,1961,3690,1310
38,38,47,1817,1976,1976,3639,1361
39,39,47,1852,1988,1988,3590,1410
40,40,43,1869,2014,2014,3544,1456
41,41,41,1897,2027,2027,3500,1500
42,42,44,1924,2044,2044,3458,1542
43,43,35,1944,2059,2059,3418,1582
44,44,38,1966,2075,2075,3380,1620
45,45,47,1999,2089,2089,3342,1658
46,46,32,2015,2105,2105,3306,1694
47,47,30,2034,2116,2116,3272,1728
48,48,33,2050,2133,2133,3240,1760
49,49,24,2059,2148,2148,3210,1790
