,day,new_infections,infected,recovered,immune,alive,dead
0,0,44,64,0,0,5000,0
1,1,77,141,0,0,5000,0
2,2,105,246,0,0,5000,0
3,3,92,338,0,0,5000,0
4,4,114,452,0,0,5000,0
5,5,122,574,0,0,5000,0
6,6,126,700,0,0,5000,0
7,7,118,818,0,0,5000,0
8,8,122,940,0,0,5000,0
9,9,117,1057,0,0,5000,0
10,10,116,1173,0,0,5000,0
11,11,111,1284,0,0,5000,0
12,12,113,1397,0,0,5000,0
13,13,101,1498,0,0,5000,0
14,14,106,1604,0,0,5000,0
15,15,115,1655,64,64,4988,12
16,16,103,1681,141,141,4967,33
17,17,91,1667,246,246,4939,61
18,18,96,1671,338,338,4905,95
19,19,97,1654,452,452,4864,136
20,20,78,1610,574,574,4820,180
21,21,72,1556,700,700,4773,227
22,22,104,1542,818,818,4720,280
23,23,76,1496,940,940,4665,335
24,24,66,1445,1057,1057,4609,391
25,25,94,1423,1173,1173,4549,451
26,26,67,1379,1284,1284,4488,512
27,27,67,1333,1397,1397,4427,573
28,28,72,1304,1498,1498,4365,635
29,29,81,1279,1604,1604,4301,699
30,30,78,1330,1631,1631,4238,762
31,31,63,1373,1651,1651,4177,823
32,32,74,1422,1676,1676,4117,883
33,33,67,1478,1687,1687,4057,943
34,34,60,1518,1707,1707,3999,1001
35,35,65,1570,1720,1720,3942,1058
36,36,56,1610,1736,1736,3887,1113
37,37,54,1641,1759,1759,3834,1166
38,38,58,1680,1778,1778,3783,1217
39,39,55,1728,1785,1785,3732,1268
40,40,47,1757,1803,1803,3683,1317
41,41,56,1799,1817,1817,3635,1365
42,42,59,1843,1832,1832,3587,1413
43,43,55,1874,1856,1856,3541,1459
44,44,55,1909,1876,1876,3496,1504
45,45,53,1949,1889,1889,3452,1548
46,46,49,1979,1908,1908,3409,1591
47,47,54,2018,1923,1923,3366,1634
48,48,40,2049,1932,1932,3324,1676
49,49,43,2080,1944,1944,3284,1716
