,day,new_infections,infected,recovered,immune,alive,dead
0,0,10,15,0,20,5000,0
1,1,32,47,0,20,5000,0
2,2,75,122,0,20,5000,0
3,3,139,261,0,20,5000,0
4,4,213,474,0,20,5000,0
5,5,277,751,0,20,5000,0
6,6,350,1101,0,20,5000,0
7,7,415,1516,0,20,5000,0
8,8,436,1952,0,20,5000,0
9,9,415,2367,0,20,5000,0
10,10,373,2740,0,20,5000,0
11,11,351,3091,0,20,4998,2
12,12,397,3488,0,20,4994,6
13,13,365,3853,0,20,4982,18
14,14,276,4129,0,20,4958,42
15,15,219,4339,9,29,4916,84
16,16,186,4503,31,51,4852,148
17,17,123,4578,79,99,4765,235
18,18,69,4554,172,192,4654,346
19,19,82,4497,311,331,4524,476
20,20,73,4389,492,512,4384,616
21,21,56,4220,717,737,4243,757
22,22,27,3960,1004,1024,4110,890
23,23,11,3692,1283,1303,3978,1022
24,24,3,3426,1552,1572,3850,1150
