,day,new_infections,infected,recovered,immune,alive,dead
0,0,40,60,0,20,5000,0
1,1,121,181,0,20,5000,0
2,2,260,441,0,20,5000,0
3,3,482,923,0,20,5000,0
4,4,628,1551,0,20,5000,0
5,5,619,2170,0,20,5000,0
6,6,615,2785,0,20,5000,0
7,7,550,3335,0,20,5000,0
8,8,553,3888,0,20,5000,0
9,9,449,4337,0,20,5000,0
10,10,276,4613,0,20,5000,0
11,11,163,4776,0,20,4994,6
12,12,85,4861,0,20,4976,24
13,13,62,4923,0,20,4934,66
14,14,28,4951,0,20,4848,152
15,15,20,4927,44,64,4712,288
16,16,8,4856,123,143,4536,464
17,17,1,4691,289,309,4333,667
18,18,0,4390,590,610,4125,875
19,19,0,3963,1017,1037,3925,1075
20,20,0,3552,1428,1448,3742,1258
21,21,0,3159,1821,1841,3589,1411
22,22,0,2793,2187,2207,3471,1529
23,23,0,2427,2553,2573,3393,1607
24,24,0,2145,2835,2855,3345,1655
