,day,new_infections,infected,recovered,immune,alive,dead
0,0,54,74,0,20,4993,7
1,1,135,209,0,20,4973,27
2,2,288,497,0,20,4926,74
3,3,511,1008,0,20,4833,167
4,4,649,1657,0,20,4684,316
